,AXP,AAPL,BA,CAT,CVX,CSCO,DIS,DOW,XOM,HD,IBM,INTC,JNJ,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
Gross Profit,,"101,839,000","19,637,000","17,003,000","44,905,000","30,606,000","26,708,000","12,573,000","67,733,000","37,160,000","36,936,000","43,737,000","54,490,000","20,086,000","10,786,000","16,083,000","28,785,000","82,933,000","17,474,000","42,399,000","32,564,000",,"16,516,000","52,470,000","75,355,000","16,753,000","129,104,000","30,792,000"
Operating Expense,,"30,941,000","7,836,000","8,710,000","30,459,000","17,939,000","11,871,000","5,004,000","45,609,000","21,383,000","23,651,000","20,493,000","34,441,000","10,305,000","2,200,200","9,423,000","19,854,000","39,974,000","12,702,000","27,354,000","18,853,000",,"7,963,000","36,502,000","48,486,000","3,192,000","107,147,000","24,569,000"
Operating Income,,"70,898,000","11,801,000","8,293,000","14,446,000","12,667,000","14,837,000","7,569,000","22,124,000","15,777,000","13,285,000","23,244,000","20,049,000","9,781,000","8,585,800","6,660,000","8,931,000","42,959,000","4,772,000","15,045,000","13,711,000",,"8,553,000","15,968,000","26,869,000","13,561,000","21,957,000","6,223,000"
Net Non Operating Interest Income Expense,,"2,446,000","-475,000","-404,000","-748,000","565,000","-574,000","-1,009,000","-766,000","-958,000","-459,000","-30,000","-394,000","-237,000","-977,200","-280,000","-429,000","-2,686,000","-49,000","-983,000","-259,000",,"-1,038,000","-1,400,000","-4,739,000","-612,000","-2,129,000","-616,000"
Other Income Expense,,"-441,000","278,000","-67,000","6,877,000","-193,000","466,000","-642,000","9,595,000","-263,000","-1,482,000","103,000","-1,656,000","-1,194,000","206,800","620,000","199,000","3,415,000","78,000","-2,178,000","-126,000",,"765,000","1,376,000","-2,507,000","-143,000","-8,368,000","368,000"
Total Operating Income as Reported,,"70,898,000","11,987,000","8,293,000",,"12,309,000",,,,"15,530,000",,"23,316,000",,"8,700,000","8,822,600","7,207,000",,"42,959,000",,,"13,711,000",,"8,553,000","17,344,000","22,278,000","12,954,000","21,957,000","6,414,000"
Total Expenses,,"194,697,000","89,326,000","46,429,000","144,456,000","36,663,000","44,597,000","52,709,000","257,208,000","92,426,000","66,306,000","47,604,000","61,532,000","22,075,000","12,439,400","26,105,000","33,363,000","82,884,000","34,345,000","38,602,000","53,121,000","27,321,000","57,948,000","208,903,000","103,994,000","7,048,000","492,448,000","125,314,000"
Interest Income,,"5,686,000",,,,"1,508,000","108,000","109,000",,"93,000","264,000","438,000","611,000","682,000","4,000","70,000","343,000",,,"333,000","247,000",,"187,000",,"94,000",,"217,000",
Interest Expense,,"3,240,000","475,000","404,000","748,000","943,000","682,000","1,118,000","766,000","1,051,000","723,000","468,000","1,005,000","919,000","981,200","350,000","772,000","2,686,000",,"1,316,000","506,000","352,000","1,225,000","1,400,000","4,833,000","612,000","2,346,000","616,000"
Net Interest Income,,"2,446,000","-475,000","-404,000","-748,000","565,000","-574,000","-1,009,000","-766,000","-958,000","-459,000","-30,000","-394,000","-237,000","-977,200","-280,000","-429,000","-2,686,000","-49,000","-983,000","-259,000",,"-1,038,000","-1,400,000","-4,739,000","-612,000","-2,129,000","-616,000"
