date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD)
2020-02-06,67960.896912,9612.03,69732.314928,9862.57,67355.10504,9526.35,69091.9488,9772.0,64949.706588,64949.706588
2020-02-05,65026.610208,9197.02,68897.15928,9744.45,64886.616288,9177.22,67960.967616,9612.04,64870.415615,64870.415615
2020-02-04,65693.56104,9291.35,66108.24,9350.0,64291.217904,9093.01,65026.610208,9197.02,53308.175266,53308.175266
2020-02-03,65978.073936,9331.59,68008.692816,9618.79,65288.0736,9234.0,65699.853696,9292.24,50892.133451,50892.133451
2020-02-02,66351.532464,9384.41,67006.392912,9477.03,64482.048,9120.0,65977.508304,9331.51,45690.91254,45690.91254
2020-02-01,66120.330384,9351.71,66918.012912,9464.53,65620.3824,9281.0,66352.946544,9384.61,28578.067354,28578.067354
2020-01-31,67250.251008,9511.52,67382.467488,9530.22,65118.454704,9210.01,66128.673456,9352.89,45552.022352,45552.022352
2020-01-30,65765.820528,9301.57,67720.2912,9578.0,65079.072576,9204.44,67262.199984,9513.21,60626.744259,60626.744259
2020-01-29,66287.403936,9375.34,66809.906496,9449.24,65160.8064,9216.0,65765.537712,9301.53,53864.065122,53864.065122
2020-01-28,62980.082928,8907.57,66461.76,9400.0,62660.71296,8862.4,66279.414384,9374.21,74584.853765,74584.853765
2020-01-27,60907.183056,8614.39,63633.6,9000.0,60345.864,8535.0,62980.082928,8907.57,53973.542996,53973.542996
2020-01-26,58967.206704,8340.01,60933.626352,8618.13,58639.493664,8293.66,60911.496,8615.0,31130.485164,31130.485164
2020-01-25,59667.034896,8438.99,59753.788704,8451.26,58365.44496,8254.9,58971.236832,8340.58,25521.157932,25521.157932
2020-01-24,59423.318208,8404.52,60296.512608,8528.02,58245.9552,8238.0,59667.1056,8439.0,41687.529529,41687.529529
2020-01-23,61390.657008,8682.77,61454.573424,8691.81,58729.499856,8306.39,59423.318208,8404.52,48165.944597,48165.944597
