date,open,high,low,close,volume
2020-07-28 09:21:00,203.1088,203.1088,203.0,203.0,5154.0
2020-07-28 09:20:00,203.2,203.2,203.1,203.1,2112.0
2020-07-28 09:19:00,203.05,203.09,203.05,203.09,1265.0
2020-07-28 09:18:00,203.0501,203.0501,203.05,203.05,343.0
2020-07-28 09:17:00,203.0501,203.09,203.05,203.09,649.0
2020-07-28 09:16:00,203.11,203.11,203.07,203.07,1532.0
2020-07-28 09:13:00,203.2,203.2,203.18,203.18,1796.0
2020-07-28 09:12:00,203.19,203.2,203.19,203.2,828.0
2020-07-28 09:11:00,203.18,203.18,203.18,203.18,562.0
2020-07-28 09:10:00,203.2099,203.2099,203.18,203.18,7630.0
2020-07-28 09:09:00,203.25,203.25,203.25,203.25,2651.0
2020-07-28 09:07:00,203.26,203.26,203.17,203.17,674.0
2020-07-28 09:05:00,203.31,203.31,203.26,203.26,853.0
2020-07-28 09:03:00,203.3,203.4,203.3,203.3999,1118.0
2020-07-28 09:02:00,203.31,203.31,203.3,203.3,1531.0
2020-07-28 09:01:00,203.3499,203.37,203.33,203.37,1403.0
2020-07-28 08:59:00,203.4605,203.4605,203.26,203.26,1136.0
2020-07-28 08:56:00,203.2,203.2,203.2,203.2,457.0
2020-07-28 08:55:00,203.1829,203.1829,203.1829,203.1829,147.0
2020-07-28 08:53:00,203.31,203.31,203.3,203.3,317.0
2020-07-28 08:51:00,203.1604,203.1604,203.1604,203.1604,310.0
2020-07-28 08:50:00,203.2995,203.3,203.2995,203.3,1289.0
2020-07-28 08:49:00,203.2004,203.2004,203.2004,203.2004,539.0
2020-07-28 08:47:00,203.2,203.2,203.2,203.2,2147.0
2020-07-28 08:46:00,203.14,203.18,203.14,203.18,486.0
2020-07-28 08:45:00,203.1218,203.1218,203.1218,203.1218,205.0
2020-07-28 08:44:00,203.18,203.18,203.1799,203.18,545.0
2020-07-28 08:43:00,203.16,203.18,203.16,203.18,1215.0
2020-07-28 08:35:00,203.09,203.09,203.09,203.09,2208.0
2020-07-28 08:33:00,203.2,203.2,203.2,203.2,245.0
2020-07-28 08:31:00,203.12,203.12,203.12,203.12,282.0
2020-07-28 08:30:00,203.1085,203.1085,203.1085,203.1085,284.0
2020-07-28 08:29:00,203.23,203.23,203.23,203.23,297.0
2020-07-28 08:28:00,203.22,203.22,203.21,203.21,5937.0
2020-07-28 08:26:00,203.2,203.2,203.2,203.2,324.0
2020-07-28 08:24:00,203.3,203.3,203.2004,203.2004,631.0
2020-07-28 08:22:00,203.2,203.2,203.2,203.2,548.0
2020-07-28 08:20:00,203.1314,203.23,203.1314,203.23,2047.0
2020-07-28 08:18:00,203.25,203.25,203.17,203.17,596.0
2020-07-28 08:17:00,203.3,203.4,203.25,203.25,1066.0
2020-07-28 08:14:00,203.263,203.263,203.263,203.263,105.0
2020-07-28 08:13:00,203.263,203.263,203.263,203.263,132.0
2020-07-28 08:12:00,203.35,203.35,203.35,203.35,163.0
2020-07-28 08:10:00,203.1,203.1,203.1,203.1,113.0
2020-07-28 08:09:00,203.056,203.056,203.05,203.05,265.0
2020-07-28 08:08:00,203.12,203.12,203.05,203.1,3261.0
2020-07-28 08:07:00,203.1,203.1,203.1,203.1,756.0
2020-07-28 08:06:00,203.1,203.1,203.1,203.1,805.0
2020-07-28 08:05:00,203.15,203.15,203.14,203.15,2710.0
2020-07-28 08:04:00,203.23,203.23,203.11,203.11,905.0
2020-07-28 08:03:00,203.14,203.25,203.07,203.25,1371.0
2020-07-28 08:02:00,203.0,203.05,202.99,203.05,1210.0
2020-07-28 08:01:00,202.8999,204.35,202.69,204.35,16902.0
2020-07-28 08:00:00,202.9,203.01,202.9,203.0,591.0
2020-07-28 07:58:00,203.1,203.1,203.1,203.1,697.0
2020-07-28 07:56:00,203.1,203.1,203.1,203.1,153.0
2020-07-28 07:52:00,203.11,203.11,203.11,203.11,135.0
2020-07-28 07:50:00,203.1,203.1,203.08,203.1,1806.0
2020-07-28 07:48:00,203.11,203.11,203.1,203.1,696.0
2020-07-28 07:47:00,203.09,203.17,203.09,203.17,827.0
2020-07-28 07:45:00,202.9,202.9,202.9,202.9,571.0
2020-07-28 07:44:00,202.89,202.9,202.89,202.9,794.0
2020-07-28 07:43:00,202.9,202.9,202.9,202.9,391.0
2020-07-28 07:42:00,202.83,202.83,202.83,202.83,140.0
2020-07-28 07:38:00,202.74,202.74,202.74,202.74,112.0
2020-07-28 07:37:00,202.8,202.8,202.8,202.8,694.0
2020-07-28 07:35:00,202.9,202.9,202.9,202.9,246.0
2020-07-28 07:34:00,202.89,202.9,202.88,202.9,599.0
2020-07-28 07:33:00,203.0,203.0,202.87,202.87,524.0
2020-07-28 07:32:00,203.04,203.04,203.0,203.0,1918.0
2020-07-28 07:31:00,203.15,203.15,203.08,203.08,914.0
2020-07-28 07:26:00,203.22,203.22,203.22,203.22,355.0
2020-07-28 07:25:00,203.29,203.5,203.25,203.5,1443.0
2020-07-28 07:24:00,203.26,203.26,203.26,203.26,133.0
2020-07-28 07:23:00,203.28,203.3,203.28,203.3,1215.0
2020-07-28 07:22:00,203.28,203.28,203.2,203.2,1409.0
2020-07-28 07:21:00,203.16,203.16,203.12,203.12,864.0
2020-07-28 07:20:00,203.25,203.25,203.25,203.25,226.0
2020-07-28 07:19:00,203.35,203.35,203.25,203.25,1384.0
2020-07-28 07:17:00,203.12,203.15,203.12,203.15,724.0
2020-07-28 07:16:00,203.42,203.42,203.36,203.36,1151.0
2020-07-28 07:15:00,203.51,203.51,203.4,203.4,535.0
2020-07-28 07:14:00,203.39,203.4,203.39,203.4,426.0
2020-07-28 07:13:00,203.37,203.37,203.35,203.35,737.0
2020-07-28 07:12:00,203.38,203.4,203.35,203.35,2544.0
2020-07-28 07:10:00,203.41,203.41,203.38,203.38,842.0
2020-07-28 07:08:00,203.42,203.45,203.38,203.38,701.0
2020-07-28 07:07:00,203.73,203.73,203.5,203.5,800.0
2020-07-28 07:05:00,203.69,203.69,203.69,203.69,411.0
2020-07-28 07:04:00,203.61,203.61,203.6,203.6,673.0
2020-07-28 07:03:00,203.55,203.55,203.55,203.55,254.0
2020-07-28 07:02:00,203.47,203.7,203.47,203.7,1109.0
2020-07-28 07:01:00,203.69,203.69,203.48,203.48,799.0
2020-07-28 06:47:00,203.11,203.33,203.05,203.05,1552.0
2020-07-28 06:46:00,203.5,203.5,203.5,203.5,140.0
2020-07-28 06:39:00,203.36,203.36,203.36,203.36,300.0
2020-07-28 06:38:00,203.43,203.43,203.43,203.43,151.0
2020-07-28 06:32:00,203.44,203.5,203.44,203.5,568.0
2020-07-28 06:28:00,203.4,203.4,203.4,203.4,200.0
2020-07-28 06:13:00,203.0,203.0,203.0,203.0,1045.0
2020-07-28 06:12:00,203.05,203.05,203.0,203.0,1734.0
2020-07-28 06:09:00,203.14,203.14,203.05,203.05,857.0
2020-07-28 06:08:00,203.22,203.22,203.22,203.22,256.0
2020-07-28 06:07:00,203.22,203.22,203.22,203.22,282.0
2020-07-28 05:58:00,203.4,203.4,203.4,203.4,500.0
2020-07-28 05:55:00,203.45,203.45,203.45,203.45,580.0
2020-07-28 05:53:00,203.86,203.86,203.86,203.86,1123.0
2020-07-28 05:51:00,204.11,204.11,204.11,204.11,213.0
2020-07-28 05:21:00,204.45,204.45,204.11,204.11,880.0
2020-07-28 05:20:00,204.6,204.6,204.45,204.45,1004.0
2020-07-28 05:17:00,204.6,204.6,204.6,204.6,276.0
2020-07-28 05:11:00,204.45,204.45,204.45,204.45,398.0
2020-07-28 05:08:00,204.35,204.35,204.33,204.33,249.0
2020-07-28 05:03:00,204.48,204.48,204.48,204.48,140.0
2020-07-28 04:53:00,204.41,204.41,204.4,204.4,310.0
2020-07-28 04:52:00,204.4,204.4,204.4,204.4,114.0
2020-07-28 04:48:00,204.2,204.2,204.2,204.2,280.0
2020-07-28 04:43:00,204.39,204.39,204.39,204.39,247.0
2020-07-28 04:33:00,204.2,204.2,204.2,204.2,815.0
2020-07-28 04:24:00,203.85,203.85,203.85,203.85,280.0
2020-07-28 04:19:00,204.3,204.3,204.3,204.3,100.0
2020-07-27 19:59:00,204.3,204.3,204.3,204.3,575.0
2020-07-27 19:57:00,204.49,204.49,204.4,204.4,2218.0
2020-07-27 19:56:00,204.4,204.4,204.4,204.4,365.0
2020-07-27 19:55:00,204.37,204.49,204.37,204.49,836.0
2020-07-27 19:54:00,204.24,204.24,204.24,204.24,1052.0
2020-07-27 19:52:00,204.1,204.24,204.1,204.24,1305.0
2020-07-27 19:51:00,204.18,204.18,204.18,204.18,852.0
2020-07-27 19:50:00,204.1,204.1,204.1,204.1,455.0
2020-07-27 19:49:00,204.1,204.1,204.1,204.1,162.0
2020-07-27 19:44:00,204.05,204.05,204.05,204.05,1167.0
2020-07-27 19:42:00,204.15,204.15,204.12,204.12,957.0
2020-07-27 19:38:00,204.11,204.11,204.11,204.11,300.0
2020-07-27 19:37:00,204.1101,204.1101,204.1101,204.1101,772.0
2020-07-27 19:36:00,204.1,204.1,204.1,204.1,150.0
2020-07-27 19:35:00,204.1,204.1,204.1,204.1,1040.0
2020-07-27 19:30:00,204.13,204.13,204.13,204.13,232.0
2020-07-27 19:29:00,204.13,204.13,204.13,204.13,215.0
2020-07-27 19:28:00,204.15,204.15,204.1,204.1,2148.0
2020-07-27 19:25:00,204.28,204.28,204.28,204.28,113.0
2020-07-27 19:24:00,204.38,204.38,204.38,204.38,110.0
2020-07-27 19:19:00,204.44,204.44,204.44,204.44,212.0
2020-07-27 19:11:00,204.3,204.5,204.2,204.5,729.0
