episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2,ou_theta_0,ou_theta_1,ou_theta_2,ou_mu_0,ou_mu_1,ou_mu_2,ou_sigma_0,ou_sigma_1,ou_sigma_2,ou_dt_0,ou_dt_1,ou_dt_2,ou_x0_0,ou_x0_1,ou_x0_2
59,4,-0.04046767759612978,-125.49373140484096,0.09640872571083978,1917.4558215141296,16572.447509765625,18229.805419921875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
60,2,-0.07102762452401187,-250.92088508974652,0.018808636861628897,7774.673828125,14785.536865234375,10948.40853881836,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
61,12,-0.0352725670124077,-41.6931422688919,0.04838638176043577,5216.930080254872,14604.922378540039,19195.593627929688,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
62,4,49.97896814758795,-175.39763033162563,0.13563234565554413,3195.0706672668457,12922.616271972656,19111.248779296875,2.0,2.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
63,2,-250.0590175288178,0.05901752881780298,0.1985363397002698,6389.499542236328,18007.95703125,15222.95751953125,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
64,7,28.541145005196274,-71.55299090125807,-28.539901454503585,7305.233132498605,12431.365155901227,11395.573434012276,2.0,0.0,2.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
65,1,-500.0646985100876,0.06469851008762151,0.13993955365402774,840.5823974609375,25322.30078125,6643.11279296875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
66,2,-0.07135446892492264,0.07135446892492264,-250.8507855724084,11906.032470703125,19929.18505859375,864.4066467285156,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
67,4,-125.1885883957209,0.18858839572089664,0.20034317833690662,7728.476127624512,25227.82421875,14130.644409179688,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
68,5,-0.07204883693858213,-100.22728114944297,0.07204883693858213,8125.136376953125,15539.484020996093,14333.05107421875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
69,7,-71.46776932744876,-0.01961631573919777,-0.17113007914950856,3396.3699951171875,17264.963710239954,10178.101300920758,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
70,1,-0.06757286916244029,-500.9218127558807,0.06757286916244029,7879.1630859375,26842.5234375,7087.169921875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
71,10,-0.051340644428285856,-50.01246631631208,0.05046030352463733,4426.013904571533,10401.524957275391,10784.586193847656,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
72,6,-0.045877802687831905,-83.39038430590453,0.045877802687831905,9044.198671976725,17346.057291666668,12567.180013020834,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
