episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
66,2,-250.0522052433263,0.05220524332632824,11713.85580444336,19621.2509765625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
67,6,-83.48107831814086,0.14774498480753015,14168.738362630209,14490.492960611979,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
68,9,-55.74992768916382,-55.58851779647907,18676.69363064236,17356.260199652777,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
69,6,-83.40989803622894,0.07656470289560362,12398.201416015625,15053.829427083334,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
70,7,-0.11442549058915832,-71.46216870568817,17703.441824776786,17760.725237165178,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
71,7,-0.17444237030871948,-71.53372009931921,15507.39662388393,13740.150460379464,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
72,13,-0.0848350362381373,-38.51903782572866,11989.932025615986,14931.184532752404,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
73,4,-0.15264889635088122,-125.10003038893802,15176.657104492188,12140.046997070312,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
74,1,-0.11311786628200933,-500.97007512797944,13514.5625,34052.70703125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
75,4,-0.17887896767980155,-125.25774896050677,11947.976318359375,12022.80648803711,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
76,2,-0.05756517983176313,-250.93693881137457,8011.8349609375,14735.8486328125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
77,5,-0.09132442949081243,-100.53659258762696,19288.97373046875,15363.915234375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
78,8,-0.12096362781408714,-62.68120266341001,13479.777236938477,21248.521606445312,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
79,7,-71.51974918186902,0.09117775329758367,13708.341796875,15290.520786830357,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
80,9,-0.05993821996997263,-55.495617335585585,15958.343424479166,19737.38205295139,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
81,2,-250.08733606968826,0.08733606968827234,7393.65869140625,24004.1484375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
82,7,-71.59964508626948,-71.55233090339628,18981.81458391462,21342.8671875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
83,1,-0.2613711963734223,-500.83811533174395,34049.41796875,13501.837890625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
84,13,-0.136022751617052,-38.41442931265565,17777.894550030047,21226.14697265625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
85,7,-71.52427331815989,0.08242407652801921,14519.293526785714,13892.48038155692,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
86,2,-0.19901884305996725,-250.73612656937135,31484.359375,14704.37353515625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
87,3,-0.06389955142679658,-167.322402845615,4697.0546875,18023.685384114582,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
