episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
87,1,-501.07218854410456,0.0,27395.26953125,23916.3984375,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
88,4,0.0,-125.44575824104429,10711.389038085938,12024.471008300781,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
89,4,-125.31959505943568,0.0,23001.802734375,14751.070617675781,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
90,8,0.0,-62.76766392682303,23451.780639648438,11343.500701904297,8.0,8.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
91,2,-250.86729652579157,0.0,14567.10986328125,12614.083129882812,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
92,5,-100.25276262393456,0.0,13684.73310546875,12488.03768310547,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
93,5,-100.43033014850958,-100.61259259524131,22770.7234375,14070.446594238281,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
94,1,-501.0029032586859,0.0,32487.71875,15066.162109375,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
95,2,-250.70869322352453,0.0,14151.193359375,15370.650390625,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
96,10,-50.16038709300434,-0.032205062632139514,17225.348291015624,16710.1056640625,10.0,10.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
97,4,-125.37820923112746,0.0,15340.086059570312,7559.988830566406,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
98,8,-0.0548511354143498,-62.63645378883187,29076.799255371094,12046.581314086914,8.0,8.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
99,12,-41.854283821990194,0.0,23841.111002604168,10945.019348144531,12.0,12.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
100,1,0.0,-501.0307141217246,31575.1171875,7521.4033203125,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
101,15,-33.43477137897736,-0.10777423530369952,21140.974869791666,8977.015706380209,15.0,15.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
102,7,0.0,-71.58084156693053,20330.829659598214,9901.33447265625,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
103,8,-0.023650464358691142,-62.629415605399714,18701.60137939453,16088.380126953125,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
104,1,-501.0549899197699,-0.9684526441957775,8613.9501953125,13235.0546875,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
105,11,-45.55911627528146,-45.65000101678935,18058.015181107956,16538.366260875355,11.0,11.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
106,4,0.0,-125.45942493994852,30325.6015625,18663.319580078125,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
107,6,-83.61572911477641,0.0,17164.513509114582,13899.873697916666,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
108,12,0.0,-41.782626234383756,16524.36014811198,22372.09100341797,12.0,12.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
109,6,-83.50750851408571,-0.06122418380442751,18810.8037109375,14269.152954101562,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
110,4,0.0,-125.56508768623075,28045.4697265625,16602.886352539062,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
111,10,-0.11480836252239157,-50.21580052312775,22649.718041992186,18636.733203125,10.0,10.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
112,13,0.0,-38.6260362990841,18435.430025540867,14973.397611177885,13.0,13.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
