episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
95,7,-0.1947012977157783,-71.39758336294808,12831.30726841518,20798.012834821428,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
96,4,-0.112799237339323,-125.40768925521084,15020.479736328125,13318.305419921875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
97,6,-83.42400276587964,0.09066943254629904,11382.613118489584,23704.618977864582,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
98,2,-0.0995093307116715,-250.74962628651068,14740.443359375,20258.23583984375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
99,8,-62.67865921891522,-62.531141053330046,9521.46711730957,25573.713256835938,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
100,3,-166.83299269593303,0.16632602926634996,9634.179056803385,17668.792643229168,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
101,11,-45.60951522054236,-45.4158542797445,13762.801225142046,22444.293590198864,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
102,2,-0.19781942860729587,-250.772133324066,9949.824798583984,20606.47265625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
103,4,-125.08367948296107,0.08367948296106385,15918.16455078125,20601.30126953125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
104,19,-26.469952995160813,0.08265488416989097,12755.772342079565,19641.1435546875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
105,10,-50.07320984581882,0.07320984581881686,11523.123052978515,17738.88544921875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
106,8,-62.62527260675135,0.12527260675134777,10359.798095703125,21903.0712890625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
107,7,-71.59415165567593,0.13655724013430162,17000.159807477678,14342.329223632812,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
108,9,-0.11876619756900617,-55.61334611233062,14952.093098958334,14578.111273871527,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
109,1,-500.20304559200565,0.2030455920056431,9020.87890625,7850.8408203125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
110,8,-0.13660965242604078,-62.640267153396536,16476.598693847656,23508.015869140625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
