episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2,ou_theta_0,ou_theta_1,ou_theta_2,ou_mu_0,ou_mu_1,ou_mu_2,ou_sigma_0,ou_sigma_1,ou_sigma_2,ou_dt_0,ou_dt_1,ou_dt_2,ou_x0_0,ou_x0_1,ou_x0_2
39,1,-0.031867627687898345,0.087107723572035,-501.0287913706703,0.007817785255610943,7802.34521484375,7821.52734375,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
40,2,-0.04933560440380906,0.04933560440380906,-250.56863866522,8275.548095703125,15923.66015625,4064.7184448242188,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
41,8,-0.06740821994700423,-62.62025861895996,0.0796346601438381,4916.076746350853,22455.750617071986,6843.140697307885,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
42,4,74.98692008898371,0.08171639027172584,-200.34222833598798,4055.5871353149414,19552.09716796875,9839.105499267578,3.0,0.0,3.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
43,1,-500.16267780555506,0.16267780555506361,0.17338532467223614,8110.97998046875,7774.90185546875,309.991455078125,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
44,2,-250.05521844403782,-0.16917927853246195,0.05521844403780858,12003.308837890625,15688.56037902832,7970.368469238281,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
45,6,-0.09442598036968246,0.09442598036968246,-83.40698877047673,10964.681762695312,13253.537923177084,11954.34826628367,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
46,5,-100.13929757567954,0.13929757567954565,0.02540251510656897,3489.98176484108,21811.8953125,4920.619128417969,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
47,3,-0.12311515423851682,-167.30921643954767,0.07225636734383047,7885.1650390625,23173.1792362531,5285.208727677663,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
48,3,-0.036997212101518656,0.036997212101518656,-167.21432372409592,5498.359354575475,15725.902262369791,7787.820377826691,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
